DMV_ID,date,stock_all_t,stock_ev_t,flow_ev_t,gas_price_t,elec_price_t,C_gas_t,C_ev_t,tco_adv_t,adopt_ev_t,adopt_ev_cum_t,adopt_ev_cum_prev
90,2024-09-02,2413775,64858,2551,3.067,0.2525495730891884,0.10953571428571429,0.07576487192675652,0.033770842358957776,2551.0,90861.0,88310.0
91,2024-10-02,2413298,66154,2318,2.945,0.2525495730891884,0.10517857142857143,0.07576487192675652,0.02941369950181491,2318.0,93179.0,90861.0
92,2024-11-02,2416490,68172,2579,2.895,0.2496176525048864,0.10339285714285715,0.07488529575146592,0.028507561391391226,2579.0,95758.0,93179.0
93,2024-12-02,2416231,69738,2147,2.916,0.24638242979117378,0.10414285714285713,0.07391472893735213,0.03022812820550501,2147.0,97905.0,95758.0
94,2025-01-02,2419499,71754,2982,2.959,0.24638242979117378,0.10567857142857143,0.07391472893735213,0.0317638424912193,2982.0,100887.0,97905.0
95,2025-02-05,2420910,73714,2680,2.977,0.24638242979117378,0.10632142857142857,0.07391472893735213,0.03240669963407644,2680.0,103567.0,100887.0
96,2025-03-05,2417698,74860,1818,2.901,0.24638242979117378,0.10360714285714286,0.07391472893735213,0.02969241391979073,1818.0,105385.0,103567.0
97,2025-04-03,2416833,76171,2206,2.952,0.24638242979117378,0.10542857142857143,0.07391472893735213,0.0315138424912193,2206.0,107591.0,105385.0
98,2025-05-03,2410788,77835,2465,2.981,0.24638242979117378,0.1064642857142857,0.07391472893735213,0.03254955677693358,2465.0,110056.0,107591.0
99,2025-06-10,2414098,79103,2063,2.981,0.24638242979117378,0.1064642857142857,0.07391472893735213,0.03254955677693358,2063.0,112119.0,110056.0
100,2025-07-07,2421034,80431,2197,2.981,0.24638242979117378,0.1064642857142857,0.07391472893735213,0.03254955677693358,2197.0,114316.0,112119.0
101,2025-08-08,2426029,82366,2813,3.001,0.24638242979117378,0.10717857142857143,0.07391472893735213,0.0332638424912193,2813.0,117129.0,114316.0
102,2025-09-08,2428277,83863,2650,3.047,0.24638242979117378,0.10882142857142858,0.07391472893735213,0.03490669963407646,2650.0,119779.0,117129.0
