date,DMV_ID,is_train,stock_ev_t_obs,flow_ev_t_obs,adopt_ev_cum_t_obs,stock_ev_t_hat_fit,flow_ev_t_hat_fit,stock_ev_t_hat_anchor,flow_ev_t_hat_anchor,stock_ev_t_hat_cov_fit,flow_ev_t_hat_cov_fit,stock_ev_t_hat_cov_anchor,flow_ev_t_hat_cov_anchor,stock_ev_t_hat_cov_policy_fit,flow_ev_t_hat_cov_policy_fit,stock_ev_t_hat_cov_policy_anchor,flow_ev_t_hat_cov_policy_anchor
2018-10-01,19.0,1,10213.0,556.0,15119.0,13899.284574444928,546.5655150498758,,,13903.504079029453,547.2178240792896,,,14142.763431924854,556.2305682673756,,
2018-11-01,20.0,1,10649.0,583.0,15702.0,14294.829020476609,564.5200966145809,,,14299.438395409948,564.9612641023533,,,14544.318066857726,573.490293861921,,
2018-12-01,21.0,1,11074.0,703.0,16405.0,14704.214134190697,583.1694564094936,,,14708.71120792432,583.1131920600229,,,14957.085083265809,589.5844342016919,,
2019-01-01,22.0,1,11601.0,539.0,16944.0,15130.869148669788,605.4163123234022,,,15134.492710914905,604.5974724229021,,,15376.031015580236,600.7814195462988,,
2019-02-01,23.0,1,11978.0,323.0,17267.0,15569.21567547949,622.2947325311682,,,15571.667290306832,621.1668372935246,,,15806.032267122726,616.9299262037351,,
2019-03-01,24.0,1,12155.0,390.0,17657.0,16012.273421503083,632.3349950603263,,,16014.57858646528,632.218349837875,,,16243.640347140485,629.7643432532019,,
2019-04-01,25.0,1,12376.0,396.0,18053.0,16461.993597918878,644.3837437539564,,,16464.90981444354,645.0228195465261,,,16689.22637182117,643.0623538249356,,
2019-05-01,26.0,1,12645.0,358.0,18411.0,16918.397553413935,656.5348372826131,,,16922.659240478464,657.9157606964644,,,17143.792168636926,657.459180917605,,
2019-06-01,27.0,1,12861.0,476.0,18887.0,17380.166019992696,667.4479185028151,,,17384.590606361682,667.6626277648596,,,17600.353935116927,664.981373952433,,
2019-07-01,28.0,1,13158.0,464.0,19351.0,17850.724943077592,681.8521622971253,,,17855.277674675803,682.0340978747868,,,18062.71994155823,676.3361025816213,,
2019-08-01,29.0,1,13404.0,356.0,19707.0,18329.487987738088,695.776938035896,,,18333.97906047851,695.770627406974,,,18533.005322228862,689.8765284792931,,
2019-09-01,30.0,1,13566.0,358.0,20065.0,18813.036440578097,706.3827390934206,,,18816.78654868507,705.6963730930222,,,19006.85882774196,699.1619819894831,,
2019-10-01,31.0,1,13842.0,560.0,20625.0,19301.303529091856,716.9799445575348,,,19304.04289195735,716.0147899328753,,,19484.775857080924,708.9862127025517,,
2019-11-01,32.0,1,14096.0,382.0,21007.0,19800.074197647107,733.4194595385462,,,19802.12045958664,732.7596614505824,,,19974.01136354077,726.114797568514,,
2019-12-01,33.0,1,14278.0,536.0,21543.0,20303.89935512735,744.5375769732947,,,20305.472400952975,744.0892375672926,,,20468.861636118807,737.6772718259024,,
2020-01-01,34.0,1,14616.0,463.0,22006.0,20817.06848363859,760.0066246806763,,,20818.075549332985,759.4597682993266,,,20970.906357046802,750.8876878540581,,
2020-02-01,35.0,1,14888.0,353.0,22359.0,21337.237823873136,773.2455091129688,,,21337.2034253628,772.2162879542769,,,21479.3617741664,763.4018156925279,,
2020-03-01,36.0,1,15074.0,345.0,22704.0,21861.100135590994,783.2622559106719,,,21859.533362006787,781.7294626490489,,,21990.97708928842,772.7430811200184,,
2020-04-01,37.0,1,15209.0,253.0,22957.0,22388.319283722485,792.987763637151,,,22384.325893645822,790.5420996473653,,,22504.76062966698,781.1310891472345,,
2020-05-01,38.0,1,15340.0,179.0,23136.0,22916.22063571782,800.0794483687354,,,22909.308103100946,797.1117575969548,,,23018.75833609751,787.5913974038174,,
